Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
2023-06-05 17:57:56.541,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,9,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,4,189,94,0,7,0,0,7,0,300
2023-06-05 17:57:56.567,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,9,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,4,189,94,0,7,0,0,7,0,300
2023-06-05 17:57:56.572,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,9,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,4,189,95,0,7,0,0,7,0,300
2023-06-08 12:57:06.374,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1311,631,0,51,0,0,51,0,1915
2023-06-08 12:57:06.473,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1311,631,0,51,0,0,51,0,1919
2023-06-08 12:57:06.496,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1311,631,0,51,0,0,51,0,1923
2023-06-08 12:57:06.51,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1311,631,0,51,0,0,51,0,1927
2023-06-08 12:57:06.52,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,631,0,51,0,0,51,0,1927
2023-06-08 12:57:06.521,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,631,0,51,0,0,51,0,1927
2023-06-08 12:57:06.531,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1927
2023-06-08 12:57:14.72,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1934
2023-06-08 12:57:14.731,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1938
2023-06-08 12:57:14.739,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1940
2023-06-08 12:57:14.747,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1944
2023-06-08 12:57:14.757,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1949
2023-06-08 12:57:14.764,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1316,632,0,51,0,0,51,0,1954
2023-06-08 12:57:14.773,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,632,0,51,0,0,51,0,1954
2023-06-08 12:57:14.781,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,632,0,51,0,0,51,0,1954
2023-06-08 12:57:14.786,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1954
2023-06-08 12:57:21.788,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1954
2023-06-08 12:57:21.802,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1954
2023-06-08 12:57:21.813,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1956
2023-06-08 12:57:21.828,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1957
2023-06-08 12:57:21.839,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1957
2023-06-08 12:57:21.861,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1961
2023-06-08 12:57:21.871,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1965
2023-06-08 12:57:21.879,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1967
2023-06-08 12:57:21.888,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1969
2023-06-08 12:57:21.896,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1323,633,0,51,0,0,51,0,1970
2023-06-08 12:57:21.905,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1334,633,0,51,0,0,51,0,1972
2023-06-08 12:57:21.907,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1334,633,0,51,0,0,51,0,1972
2023-06-08 12:57:21.917,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1334,634,0,51,0,0,51,0,1972
2023-06-08 12:57:28.457,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1334,634,0,51,0,0,51,0,1975
2023-06-08 12:57:28.504,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,634,0,51,0,0,51,0,1975
2023-06-08 12:57:28.519,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,634,0,51,0,0,51,0,1975
2023-06-08 12:57:28.531,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1975
2023-06-08 12:57:34.57,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1977
2023-06-08 12:57:34.58,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1979
2023-06-08 12:57:34.589,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1981
2023-06-08 12:57:34.604,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1983
2023-06-08 12:57:34.616,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1985
2023-06-08 12:57:34.628,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1987
2023-06-08 12:57:34.637,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1989
2023-06-08 12:57:34.648,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1991
2023-06-08 12:57:34.657,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1336,635,0,51,0,0,51,0,1993
2023-06-08 12:57:34.665,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1346,635,0,51,0,0,51,0,1994
2023-06-08 12:57:34.667,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1346,635,0,51,0,0,51,0,1994
2023-06-08 12:57:34.679,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,3,115,0,0,0,0,15,0,0,0,268,0,0,0,0,0,0,7,1346,636,0,51,0,0,51,0,1994
